Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Gunnar Gren,1,1958,Sweden,Gothenburg,,0.0,0.0
Tore Keller,1,1934-1938,Sweden,Norrköping,,0.0,0.0
Knut Kroon,1,1934,Sweden,Sweden,,0.0,0.0
Roger Ljung,1,1990-1994,Sweden,Lomma,,0.0,0.0
Fredrik Ljungberg,1,2002-2006,Sweden,Vittsjö,,0.0,0.0
Bror Mellberg,1,1950-1958,Sweden,Ambjörby,,0.0,0.0
Hakan Mild,1,1994,Sweden,Trollhättan,,0.0,0.0
Thomas Sjoberg,1,1978,Sweden,Helsingborg,,0.0,0.0
Lennart Skoglund,1,1950-1958,Sweden,Stockholm,,0.0,0.0
Glenn Stromberg,1,1990,Sweden,Gothenburg,,0.0,0.0
Anders Svensson,1,2002-2006,Sweden,Gothenburg,,0.0,0.0
Ola Toivonen,1,2018,Sweden,Degerfors,,0.0,0.0
Conny Torstensson,1,1974,Sweden,Lofta,,0.0,0.0
Tom Turesson,1,1970,Sweden,Östervåla,,0.0,0.0
Rene Bader,1,1950,Switzerland,Basel,,0.0,0.0
Tranquillo Barnetta,1,2006-2010,Switzerland,St. Gallen,,0.0,0.0
Fredy Bickel,1,1938-1950,Switzerland,Eppstein,,0.0,0.0
Georges Bregy,1,1994,Switzerland,Raron,,0.0,0.0
Stephane Chapuisat,1,1994,Switzerland,Lausanne,,0.0,0.0
Josip Drmic,1,2018,Switzerland,Lachen - Switzerland,,0.0,0.0
Gelson Fernandes,1,2010,Switzerland,Praia,,0.0,0.0
Willy Jäggi,1,1934,Switzerland,Solothurn,,0.0,0.0
Admir Mehmedi,1,2014,Switzerland,Gostivar,,0.0,0.0
Rene Quentin,1,1966,Switzerland,Collombey-Muraz,,0.0,0.0
Heinz Schneiter,1,1962-1966,Switzerland,Thun,,0.0,0.0
Haris Seferovic,1,2014,Switzerland,Sursee,,0.0,0.0
Philippe Senderos,1,2006-2010,Switzerland,Geneva,,0.0,0.0
Alain Sutter,1,1994,Switzerland,Bern,,0.0,0.0
Jean Tamini,1,1950,Switzerland,Switzerland,,0.0,0.0
"Eugène (""Genia"") Walaschek ,1,1938,Switzerland,Moscow,,0.0,0.0"
Rolf Wuethrich,1,1962,Switzerland,Switzerland,,0.0,0.0
Steven Zuber,1,2018,Switzerland,Winterthur,,0.0,0.0
Mohamed Kader,1,2006,Togo,Sokodé,,0.0,0.0
Fakhreddine Ben Youssef,1,2018,Tunisia,Tunis,,0.0,0.0
Raouf Bouzaiene,1,2002,Tunisia,Sousse,,0.0,0.0
Dylan Bronn,1,2018,Tunisia,Cannes,,0.0,0.0
Mokhtar Dhouieb,1,1978,Tunisia,Sfax,Tunisia,0.0,0.0
Nejib Ghommidh,1,1978,Tunisia,Tunisia,,0.0,0.0
Radhi Jaidi,1,2002-2006,Tunisia,Gabès,,0.0,0.0
Zied Jaziri,1,2002-2006,Tunisia,Sousse,,0.0,0.0
Ali Kaabi,1,1978,Tunisia,Tunisia,,0.0,0.0
Jaouhar Mnari,1,2006,Tunisia,Monastir - Tunisia,,0.0,0.0
Ferjani Sassi,1,2018,Tunisia,Aryanah,,0.0,0.0
Skander Souayah,1,1998,Tunisia,Sfax,,0.0,0.0
Emre Belozoglu,1,2002,Turkey,Istanbul,,0.0,0.0
Mustafa Ertan,1,1954,Turkey,Ankara,,0.0,0.0
Erol Keskin,1,1954,Turkey,Istanbul,,0.0,0.0
Bulent Korkmaz,1,2002,Turkey,Malatya,,0.0,0.0
Hakan ?ükür,1,2002,Turkey,Sapanca-Sakarya,,0.0,0.0
Ali Thani Jumaa,1,1990,UAE,Sharjah (city),,0.0,0.0
Khalid Mubarak,1,1990,UAE,NULL,UAE,0.0,0.0
Maksym Kalinichenko,1,2006,Ukraine,Kharkiv,,0.0,0.0
Serhiy Rebrov,1,2006,Ukraine,Horlivka,,0.0,0.0
Andriy Rusol,1,2006,Ukraine,Kropyvnytskyi,,0.0,0.0
Antonio Alzamendi,1,1986-1990,Uruguay,Durazno,,0.0,0.0
Javier Ambrois,1,1954,Uruguay,Uruguay,,0.0,0.0
Pablo Bengoechea,1,1990,Uruguay,Rivera,,0.0,0.0
Angel Cabrera,1,1962,Uruguay,Mercedes,,0.0,0.0
Julio Cortes,1,1962-1966-1970,Uruguay,Montevideo - Uruguay,,0.0,0.0
Victor Esparrago,1,1970-1974,Uruguay,Montevideo,,0.0,0.0
Daniel Fonseca,1,1990,Uruguay,Montevideo,,0.0,0.0
Enzo Francescoli,1,1986-1990,Uruguay,Montevideo,,0.0,0.0
Jose Gimenez,1,2018,Uruguay,Toledo - Uruguay,,0.0,0.0
Diego Godin,1,2014,Uruguay,Rosario - Uruguay,,0.0,0.0
Ildo Maneiro,1,1970,Uruguay,Mercedes - Uruguay,,0.0,0.0
Richard Morales,1,2002,Uruguay,Las Piedras - Uruguay,,0.0,0.0
Juan Mujica,1,1970,Uruguay,Uruguay,,0.0,0.0
Ricardo Pavoni,1,1974,Uruguay,Montevideo,,0.0,0.0
Alvaro Pereira,1,2010,Uruguay,Montevideo,,0.0,0.0
Maximiliano Pereira,1,2010,Uruguay,Montevideo,,0.0,0.0
Julio Perez,1,1950,Uruguay,Montevideo,,0.0,0.0
Alvaro Recoba,1,2002,Uruguay,Montevideo,,0.0,0.0
Pedro Rocha,1,1962-1966-1970-1974,Uruguay,Salto,,0.0,0.0
Dario Rodriguez,1,2002,Uruguay,Montevideo,,0.0,0.0
Hector Scarone,1,1930,Uruguay,Montevideo,,0.0,0.0
Ernesto Vidal,1,1950,Uruguay,Buje,,0.0,0.0
Michael Bradley,1,2010,USA,Princeton - New Jersey,,0.0,0.0
John Brooks,1,2014,USA,Berlin,,0.0,0.0
Jim Brown,1,1930,USA,Kilmarnock,,0.0,0.0
Paul Caligiuri,1,1990-1994,USA,Westminster - California,,0.0,0.0
Aldo Donelli,1,1934,USA,Morgan-Pennsylvania,,0.0,0.0
Joseph Gaetjens,1,1950,USA,Port-au-Prince,,0.0,0.0
Julian Green,1,2014,USA,Tampa - Florida,,0.0,0.0
Jermaine Jones,1,2014,USA,Frankfurt,,0.0,0.0
Clint Mathis,1,2002,USA,Conyers - Georgia,,0.0,0.0
Bruce Murray,1,1990,USA,Germantown - Maryland,,0.0,0.0
John O Brien,1,2002-2006,USA,Los Angeles,,0.0,0.0
Earnie Stewart,1,1994-1998-2002,USA,Veghel,,0.0,0.0
Frank Wallace,1,1950,USA,St. Louis-Missouri,,0.0,0.0
Eric Wynalda,1,1990-1994-1998,USA,Fullerton - California,,0.0,0.0
Sergei Aleinikov,1,1986-1990,USSR,Minsk,,0.0,0.0
Kakhi Asatiani,1,1970,USSR,Telavi,,0.0,0.0
Andrei Bal,1,1982-1986,USSR,Rozdil,,0.0,0.0
Sergei Baltacha,1,1982,USSR,Mariupol,,0.0,0.0
Anatoli Banishevski,1,1966,USSR,Baku,,0.0,0.0
Oleg Blokhin,1,1982-1986,USSR,Kyiv,,0.0,0.0
Aleksandr Chivadze,1,1982,USSR,Karachayevsk,,0.0,0.0
Igor Dobrovolskyi,1,1990,USSR,Markivka,,0.0,0.0
Yuri Gavrilov,1,1982,USSR,Odintsovsky District,,0.0,0.0
Aleksandr Ivanov,1,1958,USSR,Saint Petersburg,,0.0,0.0
Vitali Khmelnitski,1,1970,USSR,Orikhiv Raion,,0.0,0.0
Aleksei Mamykin,1,1962,USSR,Pitelinsky District,,0.0,0.0
Khoren Oganesian,1,1982,USSR,Yerevan,,0.0,0.0
Oleg Protasov,1,1986-1990,USSR,Dnipropetrovsk,,0.0,0.0
Vasili Rats,1,1986-1990,USSR,Fanchykovo,,0.0,0.0
Sergei Rodionov,1,1986,USSR,Moscow,,0.0,0.0
Ramaz Shengelia,1,1982,USSR,Kutaisi,,0.0,0.0
Nikita Simonian,1,1958,USSR,Armavir - Russia,,0.0,0.0
Pavel Yakovenko,1,1986,USSR,Nikopol - Ukraine,,0.0,0.0
Andrei Zygmantovich,1,1990,USSR,Minsk,,0.0,0.0
John Charles,1,1958,Wales,Swansea,,0.0,0.0
Terry Medwin,1,1958,Wales,Swansea,,0.0,0.0
Stjepan Bobek,1,1950-1954,Yugoslavia,Zagreb,,0.0,0.0
Vladislav Bogicevic,1,1974,Yugoslavia,Belgrade,,0.0,0.0
Dragan Dzajic,1,1974,Yugoslavia,Ub - Serbia,,0.0,0.0
Ivan Gudelj,1,1982,Yugoslavia,Imotski,,0.0,0.0
Josip Katalinski,1,1974,Yugoslavia,Sarajevo,,0.0,0.0
Blagoje Marjanovic,1,1930,Yugoslavia,Belgrade,,0.0,0.0
Sinisa Mihajlovic,1,1998,Yugoslavia,Vukovar,,0.0,0.0
Predrag Mijatovic,1,1998,Yugoslavia,Podgorica,,0.0,0.0
Branko Oblak,1,1974,Yugoslavia,Ljubljana,,0.0,0.0
Tihomir Ognjanov,1,1950,Yugoslavia,Subotica,,0.0,0.0
Ilija Petkovic,1,1974,Yugoslavia,Knin,,0.0,0.0
Vladimir Petrovic,1,1974-1982,Yugoslavia,Belgrade,,0.0,0.0
Petar Radakovic,1,1962,Yugoslavia,Rijeka,,0.0,0.0
Branislav Sekulic,1,1930,Yugoslavia,Belgrade,,0.0,0.0
Josip Skoblar,1,1962,Yugoslavia,Privlaka - Zadar County,,0.0,0.0
Aleksandar Tirnanic,1,1930,Yugoslavia,Krnjevo,,0.0,0.0
Djordje Vujadinovic,1,1930,Yugoslavia,Smederevo,,0.0,0.0
Branko Zebec,1,1954-1958,Yugoslavia,Zagreb,,0.0,0.0
Nahuel Molina,1,2022,Argentina,Embalse - Córdoba,,0.0,0.0
Alexis Mac Allister,1,2022,Argentina,Santa Rosa - La Pampa,,0.0,0.0
Enzo Fernandez,1,2022,Argentina,San Martín - Buenos Aires,,0.0,0.0
Theo Hernandez,1,2022,France,Marseille,,0.0,0.0
Adrien Rabiot,1,2022,France,Saint-Maurice - Val-de-Marne,,0.0,0.0
Aurélien Tchouaméni,1,2022,France,Rouen,,0.0,0.0
Randal Kolo Muani,1,2022,France,Bondy,,0.0,0.0
Marcus Thuram,1,2022,France,Parma,,0.0,0.0
Josko Gvardiol,1,2022,Croatia,Zagreb,,0.0,0.0
Lovro Majer,1,2022,Croatia,Zagreb,,0.0,0.0
Mislav Orsic,1,2022,Croatia,Zagreb,,0.0,0.0
Marko Livaja,1,2022,Croatia,Split - Croatia,,0.0,0.0
Achraf Dari,1,2022,Morocco ,Casablanca,,0.0,0.0
Abdelhamid Sabiri,1,2022,Morocco ,Goulmima,,0.0,0.0
Hakim Ziyech,1,2022,Morocco ,Dronten,,0.0,0.0
Zakaria Aboukhlal,1,2022,Morocco ,Gorinchem,,0.0,0.0
Denzel Dumfries,1,2022,Netherlands ,Rotterdam,,0.0,0.0
Frenkie de Jong,1,2022,Netherlands ,Gorinchem,,0.0,0.0
Davy Klaassen,1,2022,Netherlands ,Hilversum,,0.0,0.0
Jude Bellingham,1,2022,England,Stourbridge,,0.0,0.0
Jordan Henderson,1,2022,England,Sunderland,,0.0,0.0
Phil Foden,1,2022,England,Stockport,,0.0,0.0
Jack Grealish,1,2022,England,Birmingham,,0.0,0.0
Raheem Sterling,1,2022,England,Kingston - Jamaica,,0.0,0.0
Casemiro,1,2022,Brazil,São José dos Campos,,0.0,0.0
Lucas Paqueta,1,2022,Brazil,Rio de Janeiro,,0.0,0.0
Vinicius Jr,1,2022,Brazil,São Gonçalo - Rio de Janeiro,,0.0,0.0
Raphael Guerreiro,1,2022,Portugal,Le Blanc-Mesnil,,0.0,0.0
Joao Felix,1,2022,Portugal,Viseu,,0.0,0.0
Ricardo Horta,1,2022,Portugal,Sobreda,,0.0,0.0
Mathew Leckie,1,2022,Australia,Melbourne,,0.0,0.0
Mitchell Duke,1,2022,Australia,Liverpool - New South Wales,,0.0,0.0
Craig Goodwin,1,2022,Australia,Adelaide,,0.0,0.0
Christian Pulisic,1,2022,USA,Hershey - Pennsylvania,,0.0,0.0
Tim Weah,1,2022,USA,Brooklyn,,0.0,0.0
Haji Wright,1,2022,USA,Los Angeles,,0.0,0.0
Kalidou Koulibaly,1,2022,Senegal,Saint-Dié-des-Vosges,,0.0,0.0
Boulaye Dia,1,2022,Senegal,Oyonnax,,0.0,0.0
Ismalia Sarr,1,2022,Senegal,Saint Louis-Senegal,,0.0,0.0
Bamba Dieng,1,2022,Senegal,Pikine,,0.0,0.0
Famara Diedhiou,1,2022,Senegal,Saint-Louis - Senegal,,0.0,0.0
Ao Tanaka,1,2022,Japan,Miyamae-ku - Kawasaki,,0.0,0.0
Takuma Asano,1,2022,Japan,Komono - Mie,,0.0,0.0
Daizen Maeda,1,2022,Japan,Taishi - Osaka,,0.0,0.0
Kim Young-gwon,1,2022,South Korea,Jeonju,,0.0,0.0
Paik Seung-ho,1,2022,South Korea,Seoul,,0.0,0.0
Hwang Hee-chan,1,2022,South Korea,Chuncheon,,0.0,0.0
Hugo Guillamon,1,2022,Spain,San Sebastián,,0.0,0.0
Gavi,1,2022,Spain,Los Palacios y Villafranca,,0.0,0.0
Carlos Soler,1,2022,Spain,Valencia,,0.0,0.0
Marco Asensio,1,2022,Spain,Palma - Majorca,,0.0,0.0
Dani Olmo,1,2022,Spain,Terrassa,,0.0,0.0
Manuel Akanji,1,2022,Switzerland,Neftenbach,,0.0,0.0
Remo Freuler,1,2022,Switzerland,Ennenda,,0.0,0.0
Moises Caicedo,1,2022,Ecuador ,Santo Domingo - Ecuador,,0.0,0.0
Ramin Rezaeian,1,2022,Iran,Sari - Iran,,0.0,0.0
Rouzbeh Cheshmi,1,2022,Iran,Tehran,,0.0,0.0
Gareth Bale,1,2022,Wales,Cardiff,,0.0,0.0
Luis Chavez,1,2022,Mexico ,Cihuatlán,,0.0,0.0
Henry Martin,1,2022,Mexico ,Mérida,,0.0,0.0
Saleh Al-Shehri,1,2022,Saudi Arabia,Jeddah,,0.0,0.0
Andreas Christensen,1,2022,Denmark,Lillerød,,0.0,0.0
Ilkay Gundogan,1,2022,Germany,Gelsenkirchen,,0.0,0.0
Serge Gnabry,1,2022,Germany,Stuttgart,,0.0,0.0
Keysher Fuller,1,2022,Costa Rica,Limón,,0.0,0.0
Yeltsin Tejeda,1,2022,Costa Rica,Limón,,0.0,0.0
Jean Charles Castelletto,1,2022,Cameroon,Clamart,,0.0,0.0
Eric Maxim Choupo-Moting,1,2022,Cameroon,Hamburg,,0.0,0.0
Strahinja Pavlovic,1,2022,Serbia,Šabac,,0.0,0.0
Sergej Milinkovic-Savic,1,2022,Serbia,Lleida,,0.0,0.0
Dusan Vlahovic,1,2022,Serbia,Belgrade,,0.0,0.0
Mohammed Salisu,1,2022,Ghana,Kumasi,,0.0,0.0
Osman Bukari,1,2022,Ghana,Accra,,0.0,0.0
Alphonso Davies,1,2022,Canada,Buduburam,,0.0,0.0
