Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Yerry Mina,3,2018,Colombia,Guachené,,0.0,0.0
Ronald Gomez,3,2002-2006,Costa Rica,Puntarenas,,0.0,0.0
Paulo Wanchope,3,2002-2006,Costa Rica,Heredia-Costa Rica,,0.0,0.0
Adolf Scherer,3,1962,Czech,Czechoslovakia,,0.0,0.0
Jesper Olsen,3,0,Denmark,Faxe,,0.0,0.0
Agustin Delgado,3,2002-2006,Ecuador,Ambuquí,,0.0,0.0
David Beckham,3,1998-2002-2006,England,SEARCH MANUALLY,,0.0,0.0
Steven Gerrard,3,2006-2010,England,Whiston-Merseyside,,0.0,0.0
Roger Hunt,3,1966,England,Culcheth and Glazebury,,0.0,0.0
Nat Lofthouse,3,1954,England,Bolton,,0.0,0.0
David Platt,3,1990,England,Chadderton,,0.0,0.0
Karim Benzema,3,2014,France,Lyon,,0.0,0.0
Bernard Genghini,3,1982-1986,France,Soultz-Haut-Rhin,,0.0,0.0
Alain Giresse,3,1982-1986,France,Langoiran,,0.0,0.0
Jean Nicolas,3,1934-1938,France,Nanterre,,0.0,0.0
Michael Ballack,3,2002-2006,Germany,Görlitz,,0.0,0.0
Toni Kroos,3,2014-2018,Germany,Greifswald,,0.0,0.0
Pierre Littbarski,3,1982-1986-1990,Germany,West Berlin,,0.0,0.0
Wolfgang Overath,3,1966-1970-1974,Germany,Siegburg,,0.0,0.0
Andre Schuerrle,3,2014,Germany,Ludwigshafen,,0.0,0.0
Fritz Walter,3,1954-1958,Germany,Kaiserslautern,,0.0,0.0
Zoltan Czibor,3,1954,Hungary,Kaposvár,,0.0,0.0
Laszlo Kiss,3,0,Hungary,SEARCH MANUALLY,,0.0,0.0
Geza Toldi,3,1934-1938,Hungary,Budapest,,0.0,0.0
Robbie Keane,3,2002,Ireland,Tallaght,,0.0,0.0
Giuseppe Meazza,3,1934-1938,Italy,Milan,,0.0,0.0
Raimondo Orsi,3,1934,Italy,Avellaneda,,0.0,0.0
Gigi Riva,3,1970-1974,Italy,Leggiuno,,0.0,0.0
Gianni Rivera,3,1962-1966-1970-1974,Italy,SEARCH MANUALLY,,0.0,0.0
Cuauhtemoc Blanco,3,1998-2002-2010,Mexico,SEARCH MANUALLY,,0.0,0.0
Rafael Marquez,3,2002-2006-2010-2014,Mexico,Zamora-Michoacán,,0.0,0.0
Johan Cruyff,3,1974,Netherlands,Amsterdam,,0.0,0.0
Gerry Armstrong,3,1982,Northern Ireland,SEARCH MANUALLY,,0.0,0.0
Nelson Cuevas,3,2002-2006,Paraguay,Asunción,,0.0,0.0
